Id,WordsDictionary_Count,CapitalLetters_cfcl,CapitalLetters_cacl,
mt0000008995,47,27,0,
mt0000022649,33,12,0,
mt0000024499,74,34,0,
mt0000026571,36,6,0,
mt0000027422,76,30,0,
mt0000030834,50,29,0,
mt0000031210,33,23,0,
mt0000040773,107,32,0,
mt0000042939,74,31,0,
mt0000043184,90,40,0,
mt0000045773,81,26,0,
mt0000048600,78,28,0,
mt0000052463,313,0,0,
mt0000053935,80,20,0,
mt0000054766,106,70,0,
mt0000059269,39,23,0,
mt0000063684,75,49,0,
mt0000067251,102,30,0,
mt0000082188,26,21,0,
mt0000086428,44,26,0,
mt0000090550,49,16,0,
mt0000091401,83,54,0,
mt0000091781,34,20,0,
mt0000092637,43,26,0,
mt0000095414,36,10,0,
mt0000103049,36,31,0,
mt0000103874,121,31,0,
mt0000105492,59,31,0,
mt0000106285,65,26,1,
mt0000111068,46,42,0,
mt0000119701,25,19,0,
mt0000119987,140,75,5,
mt0000124779,68,48,0,
mt0000128573,36,69,0,
mt0000130807,47,19,0,
mt0000139242,53,47,0,
mt0000143859,37,17,0,
mt0000144424,47,13,0,
mt0000145509,68,34,0,
mt0000146284,38,10,0,
mt0000147647,260,110,0,
mt0000151451,52,13,0,
mt0000151529,85,60,0,
mt0000153361,82,53,0,
mt0000162219,89,25,0,
mt0000164441,28,15,0,
mt0000171421,53,28,0,
mt0000171852,21,11,0,
mt0000175597,81,32,0,
mt0000185453,20,15,0,
mt0000185601,174,155,46,
mt0000186467,47,52,0,
mt0000191766,31,4,0,
mt0000192982,56,20,0,
mt0000195705,34,14,0,
mt0000214287,51,12,0,
mt0000225806,42,12,0,
mt0000239675,46,23,0,
mt0000245808,344,76,0,
mt0000252574,137,54,0,
mt0000259235,66,30,0,
mt0000265621,18,20,0,
mt0000268576,77,37,0,
mt0000268701,42,35,0,
mt0000273374,34,22,0,
mt0000277633,132,43,0,
mt0000293345,29,22,0,
mt0000310204,66,24,0,
mt0000315363,77,17,0,
mt0000316110,39,17,0,
mt0000318206,20,30,0,
mt0000320757,48,21,0,
mt0000325093,55,41,0,
mt0000326433,67,32,0,
mt0000330045,101,51,0,
mt0000345937,198,69,0,
mt0000353361,81,55,0,
mt0000361419,12,16,0,
mt0000371043,77,33,0,
mt0000380971,47,19,0,
mt0000391566,69,27,0,
mt0000398595,52,28,0,
mt0000402499,68,42,9,
mt0000409922,27,15,0,
mt0000412380,317,112,0,
mt0000421504,37,19,0,
mt0000425270,266,112,3,
mt0000431226,101,28,0,
mt0000436815,87,32,0,
mt0000447539,28,21,0,
mt0000463371,47,41,0,
mt0000464234,211,77,1,
mt0000475876,262,55,0,
mt0000489470,65,34,0,
mt0000495842,61,0,0,
mt0000502143,53,37,0,
mt0000515256,47,21,0,
mt0000518591,93,37,1,
mt0000526302,52,43,0,
mt0000526867,67,50,0,
mt0000530706,42,48,0,
mt0000552259,42,22,0,
mt0000553622,41,21,0,
mt0000564376,68,22,0,
mt0000567692,89,37,0,
mt0000570966,165,43,0,
mt0000580738,86,39,0,
mt0000592222,77,20,0,
mt0000599398,28,22,0,
mt0000603187,102,0,0,
mt0000604234,49,29,0,
mt0000606812,92,38,0,
mt0000630628,62,41,1,
mt0000633351,22,7,0,
mt0000638424,46,29,0,
mt0000638634,83,46,0,
mt0000643201,62,44,0,
mt0000652082,47,19,0,
mt0000666429,142,50,4,
mt0000667625,59,18,0,
mt0000670865,77,26,0,
mt0000685324,47,19,0,
mt0000685538,40,31,0,
mt0000688115,49,13,0,
mt0000688312,90,49,0,
mt0000689110,51,22,0,
mt0000690637,142,29,0,
mt0000704913,68,33,0,
mt0000707663,54,32,0,
mt0000712071,68,20,0,
mt0000714708,90,53,0,
mt0000720686,37,20,0,
mt0000721873,84,50,0,
mt0000728975,77,32,0,
mt0000734482,26,15,0,
mt0000744293,59,38,4,
mt0000747666,106,60,0,
mt0000753074,79,35,0,
mt0000766316,76,39,1,
mt0000775053,73,23,0,
mt0000776108,52,18,0,
mt0000783307,145,73,2,
mt0000787002,100,28,0,
mt0000789330,19,23,0,
mt0000814289,27,15,0,
mt0000832464,199,53,0,
mt0000842929,74,39,0,
mt0000844574,104,46,0,
mt0000847731,56,19,0,
mt0000850050,81,25,0,
mt0000851865,104,52,1,
mt0000853072,19,1,0,
mt0000857760,47,24,0,
mt0000863232,40,11,0,
mt0000871290,84,41,0,
mt0000874328,108,29,0,
mt0000874482,87,34,0,
mt0000875199,61,28,0,
mt0000875520,52,14,0,
mt0000878275,52,41,0,
mt0000886390,59,20,0,
mt0000889229,41,28,0,
mt0000895905,50,24,0,
mt0000903225,44,13,0,
mt0000927561,19,19,0,
mt0000931402,25,29,0,
mt0000948111,64,22,0,
mt0000950090,36,37,0,
mt0000951610,73,38,0,
mt0000968326,168,55,0,
mt0000971800,51,47,0,
mt0000983092,61,56,0,
mt0001020011,20,18,0,
mt0001030436,25,10,0,
mt0001032211,32,24,0,
mt0001043721,137,104,14,
mt0001062700,43,27,0,
mt0001073553,98,53,0,
mt0001096019,38,23,0,
mt0001101467,251,119,1,
mt0001102610,84,30,0,
mt0001104467,79,33,0,
mt0001106114,101,42,0,
mt0001117815,79,53,0,
mt0001126926,21,4,0,
mt0001137053,21,12,0,
mt0001141875,0,176,0,
mt0001152664,26,23,0,
mt0001153847,78,21,0,
mt0001157069,72,36,1,
mt0001193202,27,26,0,
mt0001194164,46,20,0,
mt0001202986,97,37,0,
mt0001232924,38,19,0,
mt0001236337,62,39,0,
mt0001243097,79,14,0,
mt0001265984,55,24,0,
mt0001266436,37,21,0,
mt0001277283,45,19,0,
mt0001297031,44,17,0,
mt0001298241,183,58,0,
mt0001305550,22,11,0,
mt0001321861,260,87,10,
mt0001353828,252,125,3,
mt0001356476,140,65,0,
mt0001356637,83,0,0,
mt0001361436,35,18,0,
mt0001369981,46,24,0,
mt0001372070,17,9,0,
mt0001374103,39,16,0,
mt0001383277,267,71,4,
mt0001385947,110,38,0,
mt0001393272,69,0,0,
mt0001395462,56,26,0,
mt0001397431,111,38,0,
mt0001453285,17,7,0,
mt0001469090,92,57,0,
mt0001473158,195,87,7,
mt0001481574,212,69,0,
mt0001497786,103,59,0,
mt0001509615,32,18,0,
mt0001518335,64,23,0,
mt0001522985,0,594,0,
mt0001531856,46,23,0,
mt0001531906,67,21,0,
mt0001535201,86,40,0,
mt0001566152,25,12,0,
mt0001578777,34,43,0,
mt0001590201,90,38,0,
mt0001595082,45,36,0,
mt0001598710,108,39,0,
mt0001608358,61,29,0,
mt0001608499,58,20,0,
mt0001609043,125,42,0,
mt0001610102,176,36,0,
mt0001612417,116,42,0,
mt0001634305,107,3,0,
mt0001638394,25,23,0,
mt0001641165,163,131,15,
mt0001646256,23,11,0,
mt0001653728,51,17,0,
mt0001658982,45,13,0,
mt0001664577,264,149,0,
mt0001698737,54,29,0,
mt0001710592,71,71,0,
mt0001722508,61,43,0,
mt0001753032,60,26,0,
mt0001779167,61,17,0,
mt0001802833,97,46,0,
mt0001832838,61,25,0,
mt0001839466,13,19,0,
mt0001863823,42,22,0,
mt0001866808,56,22,0,
mt0001879903,62,3,0,
mt0001891260,64,33,0,
mt0001921677,64,39,0,
mt0001927015,65,47,0,
mt0001943830,29,17,0,
mt0001967655,99,30,0,
mt0001972829,65,21,0,
mt0001992879,65,26,0,
mt0002014752,42,21,0,
mt0002024741,113,43,0,
mt0002034238,96,59,0,
mt0002060109,28,24,0,
mt0002067509,89,25,1,
mt0002070314,264,125,13,
mt0002164399,52,28,0,
mt0002177145,104,29,0,
mt0002179342,37,21,0,
mt0002219182,69,38,0,
mt0002225477,288,111,1,
mt0002238737,30,18,0,
mt0002239079,242,110,0,
mt0002240771,53,36,0,
mt0002260787,22,8,0,
mt0002272314,79,35,0,
mt0002325544,29,9,0,
mt0002337555,20,25,0,
mt0002343160,78,47,0,
mt0002343207,94,29,0,
mt0002355518,92,25,0,
mt0002358457,42,16,0,
mt0002359628,109,64,0,
mt0002360219,176,37,0,
mt0002371970,4,0,0,
mt0002374117,36,18,0,
mt0002390941,83,25,0,
mt0002549047,55,19,0,
mt0002619035,38,13,0,
mt0002655864,209,71,2,
mt0002662293,66,22,0,
mt0002672499,121,29,0,
mt0002675791,18,17,0,
mt0002714093,78,26,0,
mt0002737189,53,19,0,
mt0002749253,90,22,0,
mt0002784741,50,28,1,
mt0002786674,108,61,0,
mt0002803746,74,48,0,
mt0002810052,59,43,0,
mt0002842988,47,28,0,
mt0002872113,31,26,0,
mt0002903697,55,35,0,
mt0002939380,127,44,2,
mt0002949712,55,59,0,
mt0002951965,74,32,0,
mt0002962258,136,55,4,
mt0003025373,51,24,0,
mt0003038205,47,22,0,
mt0003041246,39,26,0,
mt0003059710,116,48,2,
mt0003067607,71,38,0,
mt0003085925,124,67,0,
mt0003087857,225,95,1,
mt0003108238,35,29,0,
mt0003117846,88,29,1,
mt0003131435,161,40,0,
mt0003146944,28,25,0,
mt0003163405,8,13,0,
mt0003175531,75,47,0,
mt0003216840,159,62,18,
mt0003253576,71,34,0,
mt0003272904,71,44,0,
mt0003287170,18,23,0,
mt0003309945,36,47,0,
mt0003343422,37,22,0,
mt0003353794,48,16,0,
mt0003354468,44,31,0,
mt0003402277,30,22,0,
mt0003402994,329,139,1,
mt0003408163,139,45,0,
mt0003440957,34,47,0,
mt0003496132,153,75,0,
mt0003503243,122,61,0,
mt0003623420,70,44,0,
mt0003649209,54,15,1,
mt0003663435,129,22,0,
mt0003759483,56,32,0,
mt0003768949,76,32,0,
mt0003770678,98,34,0,
mt0003791678,72,36,0,
mt0003795778,41,13,0,
mt0003808965,50,38,0,
mt0003868349,48,37,0,
mt0003950978,144,50,0,
mt0003957022,85,41,0,
mt0003965796,132,30,0,
mt0004001989,100,27,0,
mt0004005104,46,19,0,
mt0004009266,82,38,0,
mt0004014951,71,46,0,
mt0004032349,188,75,0,
mt0004036128,24,0,0,
mt0004156130,55,23,0,
mt0004157335,36,18,0,
mt0004183911,80,44,0,
mt0004254228,95,81,0,
mt0004256890,113,58,0,
mt0004263301,40,16,0,
mt0004335339,21,9,0,
mt0004349116,102,63,0,
mt0004352726,109,30,0,
mt0004380082,35,1,0,
mt0004400843,57,33,0,
mt0004444570,136,36,0,
mt0004485367,61,40,0,
mt0004489039,109,66,0,
mt0004506984,96,42,5,
mt0004588191,68,21,0,
mt0004644495,35,18,0,
mt0004692317,96,42,5,
mt0004692456,151,65,0,
mt0004739956,80,61,0,
mt0004772896,75,28,0,
mt0004805505,18,12,0,
mt0004836526,248,96,0,
mt0004844832,76,16,0,
mt0004850406,63,21,0,
mt0004861138,284,81,12,
mt0004864453,51,57,0,
mt0004910983,56,15,0,
mt0004943985,109,34,0,
mt0004963809,30,28,2,
mt0004982192,87,51,0,
mt0005009443,67,14,0,
mt0005033429,69,54,0,
mt0005044119,81,41,0,
mt0005064430,50,29,0,
mt0005103598,104,32,0,
mt0005134466,48,15,0,
mt0005142001,60,26,0,
mt0005189820,40,20,0,
mt0005198745,30,6,0,
mt0005223794,55,39,2,
mt0005241287,74,36,0,
mt0005344437,61,27,0,
mt0005404111,142,43,0,
mt0005507880,80,34,0,
mt0005519111,9,3,0,
mt0005540184,90,29,0,
mt0005567133,39,16,0,
mt0005592810,296,107,0,
mt0005638160,74,39,0,
mt0005669153,111,51,0,
mt0005715715,73,34,0,
mt0005725657,136,74,0,
mt0005826176,25,25,0,
mt0005860700,43,26,0,
mt0005941425,30,21,0,
mt0005947736,63,33,0,
mt0006005146,19,17,0,
mt0006007936,229,137,0,
mt0006039798,102,25,0,
mt0006044445,77,23,0,
mt0006078896,53,15,0,
mt0006115121,34,24,0,
mt0006137300,33,33,0,
mt0006188933,63,32,0,
mt0006196650,87,40,0,
mt0006256204,61,18,0,
mt0006356406,51,25,0,
mt0006409530,96,31,0,
mt0006431184,115,56,0,
mt0006431807,148,38,0,
mt0006514225,120,47,0,
mt0006522591,83,61,0,
mt0006536592,103,46,0,
mt0006553309,13,69,0,
mt0006683875,176,57,0,
mt0006755411,12,16,0,
mt0006795758,247,85,4,
mt0006843007,135,41,0,
mt0006876450,15,5,0,
mt0006879985,232,95,4,
mt0006914583,66,20,0,
mt0006929157,205,77,2,
mt0006937715,74,43,0,
mt0007072562,109,48,0,
mt0007075838,78,51,2,
mt0007127869,75,46,2,
mt0007136180,120,48,0,
mt0007164275,145,37,1,
mt0007177899,36,11,0,
mt0007199330,44,20,0,
mt0007210245,179,79,1,
mt0007284655,48,14,0,
mt0007350911,91,37,0,
mt0007390015,57,26,0,
mt0007401605,57,25,0,
mt0007412399,139,74,0,
mt0007419064,44,38,1,
mt0007421674,173,73,0,
mt0007433643,70,30,0,
mt0007508173,90,35,0,
mt0007644103,42,14,0,
mt0007656256,51,35,0,
mt0007730975,19,13,0,
mt0007795217,92,43,0,
mt0007805279,309,93,4,
mt0007859380,90,27,0,
mt0007868583,126,65,0,
mt0007886392,67,28,0,
mt0007983016,36,18,0,
mt0008029439,116,85,0,
mt0008046899,106,53,0,
mt0008105399,89,38,0,
mt0008113039,154,36,0,
mt0008131425,46,14,0,
mt0008147388,52,51,0,
mt0008149831,57,49,0,
mt0008154135,32,16,0,
mt0008236217,20,8,0,
mt0008279825,70,42,0,
mt0008308461,109,42,0,
mt0008350331,72,37,0,
mt0008352590,271,77,0,
mt0008375464,75,52,0,
mt0008385501,19,21,0,
mt0008394478,184,60,0,
mt0008408635,17,13,0,
mt0008421113,71,72,0,
mt0008445371,16,11,0,
mt0008518738,37,15,0,
mt0008537015,97,38,0,
mt0008602863,170,67,2,
mt0008632122,83,40,0,
mt0008690776,64,26,0,
mt0008734186,25,23,0,
mt0008734289,42,44,0,
mt0008737859,53,24,0,
mt0008813307,43,18,0,
mt0008813309,94,24,0,
mt0008830058,20,12,0,
mt0008830314,68,28,0,
mt0008847144,275,97,0,
mt0008863436,31,20,0,
mt0008869963,21,16,0,
mt0008882630,102,48,0,
mt0008891523,109,48,0,
mt0008953247,86,34,0,
mt0008963540,109,31,0,
mt0008969183,71,24,0,
mt0008990167,45,16,0,
mt0009005900,76,24,0,
mt0009060419,100,59,0,
mt0009153900,91,38,0,
mt0009164591,47,17,0,
mt0009174874,67,34,1,
mt0009206381,152,31,0,
mt0009233872,151,39,0,
mt0009239443,187,58,0,
mt0009263768,67,41,0,
mt0009300582,20,18,0,
mt0009311775,104,42,0,
mt0009312856,107,27,0,
mt0009320357,140,54,0,
mt0009321428,52,38,0,
mt0009360971,129,31,0,
mt0009392584,271,123,3,
mt0009495280,72,28,0,
mt0009495283,108,55,0,
mt0009495284,196,73,0,
mt0009495285,106,53,0,
mt0009577134,106,26,0,
mt0009781899,75,56,0,
mt0010007878,40,12,0,
mt0010007881,29,15,0,
mt0010007882,39,33,0,
mt0010065680,275,135,0,
mt0010100277,105,40,0,
mt0010100278,64,39,0,
mt0010100279,54,26,0,
mt0010100283,56,34,0,
mt0010100285,58,17,0,
mt0010100324,34,26,0,
mt0010100333,118,48,0,
mt0010261588,36,59,0,
mt0010290775,72,31,0,
mt0010290785,56,93,0,
mt0010290788,43,58,0,
mt0010305995,38,38,0,
mt0010310891,24,45,0,
mt0010310894,100,91,0,
mt0010310897,95,54,0,
mt0010310898,51,32,0,
mt0010310899,44,26,0,
mt0010368848,27,38,0,
mt0010369823,63,52,0,
mt0010405928,23,20,0,
mt0010478882,53,21,0,
mt0010480965,76,44,0,
mt0010484291,70,11,0,
mt0010487366,135,70,0,
mt0010487702,32,42,0,
mt0010526041,128,92,0,
mt0010543277,138,45,0,
mt0010551970,84,20,0,
mt0010552303,111,42,0,
mt0010554175,52,8,0,
mt0010554620,115,33,0,
mt0010570500,141,47,0,
mt0010611876,46,42,0,
mt0010612023,289,78,2,
mt0010616215,178,57,0,
mt0010623104,200,80,7,
mt0010623318,53,28,0,
mt0010674530,25,10,0,
mt0010674859,25,10,0,
mt0010687397,22,15,0,
mt0010694349,74,0,0,
mt0010695865,74,16,0,
mt0010696838,217,72,2,
mt0010699902,149,69,0,
mt0010701929,86,30,0,
mt0010702370,127,52,1,
mt0010704053,36,27,0,
mt0010705334,80,16,0,
mt0010723417,94,34,0,
mt0010741386,43,22,0,
mt0010751134,22,7,0,
mt0010753520,30,26,0,
mt0010754290,97,24,0,
mt0010883435,104,20,0,
mt0010922381,56,36,0,
mt0010961352,121,24,0,
mt0010978213,194,86,2,
mt0010983695,70,22,0,
mt0010995725,100,47,0,
mt0011069243,85,35,0,
mt0011162069,32,15,0,
mt0011204639,74,29,0,
mt0011353873,110,25,0,
mt0011374266,85,54,0,
mt0011378875,83,40,3,
mt0011387901,141,46,0,
mt0011405787,81,31,0,
mt0011426003,175,83,0,
mt0011438643,514,156,1,
mt0011487003,107,54,0,
mt0011503204,248,93,0,
mt0011558921,83,39,0,
mt0011594132,95,104,0,
mt0011707340,266,95,13,
mt0011741035,48,21,0,
mt0011759451,48,42,0,
mt0011767762,99,38,0,
mt0011772341,86,45,0,
mt0011800641,140,50,0,
mt0011808566,164,50,0,
mt0011815949,36,27,0,
mt0011842354,26,24,0,
mt0011861922,23,15,0,
mt0011870505,38,15,0,
mt0011873776,43,18,0,
mt0011878109,71,29,0,
mt0011897338,56,31,0,
mt0011904586,28,20,0,
mt0011908732,53,15,0,
mt0011909571,63,29,0,
mt0011921060,153,47,0,
mt0011924283,48,29,0,
mt0011924316,38,22,0,
mt0011924930,92,54,0,
mt0011928183,47,16,0,
mt0011937155,37,26,0,
mt0011937271,56,27,0,
mt0011940781,21,32,0,
mt0011942127,126,42,0,
mt0011943335,55,38,0,
mt0011944405,62,43,0,
mt0011945627,51,34,0,
mt0011945841,51,32,0,
mt0011946105,53,18,0,
mt0011957377,27,34,0,
mt0011961925,65,21,0,
mt0011991382,47,24,0,
mt0012000832,62,34,0,
mt0012005920,154,31,0,
mt0012009054,58,37,0,
mt0012014382,242,74,2,
mt0012022863,20,34,0,
mt0012028572,225,125,0,
mt0012030545,316,109,1,
mt0012030591,107,67,0,
mt0012031327,209,81,3,
mt0012033786,291,145,7,
mt0012034242,82,30,0,
mt0012034674,213,62,0,
mt0012035583,80,62,0,
mt0012102419,51,9,0,
mt0012334245,63,31,0,
mt0012438211,30,7,0,
mt0012459878,13,16,0,
mt0012468115,52,38,0,
mt0012477572,47,27,0,
mt0012494520,66,19,0,
mt0012625300,72,27,1,
mt0012630337,95,29,1,
mt0012639323,101,16,0,
mt0012666474,127,69,0,
mt0012738934,108,72,0,
mt0012784267,247,130,4,
mt0012809291,39,12,0,
mt0012811141,22,7,0,
mt0012823048,40,15,0,
mt0012844418,35,15,0,
mt0012863101,112,42,0,
mt0012930833,282,106,0,
mt0012988776,51,13,1,
mt0013058008,140,27,0,
mt0013070871,14,7,0,
mt0013101577,48,28,0,
mt0013105517,0,140,0,
mt0013148928,103,91,0,
mt0013186132,126,63,1,
mt0013201347,46,19,0,
mt0013236693,146,55,0,
mt0013425007,70,20,1,
mt0013427388,191,39,0,
mt0013430944,62,29,0,
mt0013458428,35,11,0,
mt0013524535,216,105,90,
mt0013602925,57,33,0,
mt0013610638,59,59,0,
mt0013613711,34,46,0,
mt0013658337,64,42,0,
mt0013666337,62,25,0,
mt0013751364,412,160,0,
mt0013752990,217,79,1,
mt0013795989,208,95,0,
mt0013805035,73,33,0,
mt0013868618,70,22,0,
mt0013906090,98,34,0,
mt0013921881,326,146,4,
mt0013924254,121,41,0,
mt0013930651,171,70,0,
mt0014005525,199,88,3,
mt0014097994,54,21,0,
mt0014170517,220,4,0,
mt0014177219,87,21,2,
mt0014581361,90,81,0,
mt0014594482,62,28,0,
mt0014664637,209,97,0,
mt0014693814,57,29,0,
mt0014829611,71,19,0,
mt0014884525,0,252,0,
mt0014948707,322,47,0,
mt0014964772,391,101,30,
mt0014974957,50,40,0,
mt0014980594,65,62,0,
mt0014998906,102,53,0,
mt0015506396,53,51,0,
mt0015511866,108,44,0,
mt0015694671,95,44,0,
mt0015889071,103,53,0,
mt0015940634,48,31,0,
mt0016770768,104,37,0,
mt0016918508,240,64,0,
mt0016971741,186,39,0,
mt0017971951,279,90,1,
mt0018216077,45,33,0,
mt0020034314,54,41,0,
mt0026519497,194,83,1,
mt0026624084,32,20,0,
mt0026625063,69,40,0,
mt0026805049,59,23,0,
mt0026953217,94,56,4,
mt0026971941,113,12,0,
mt0026985012,315,85,5,
mt0026987140,176,41,0,
mt0026999750,92,45,0,
mt0027032503,13,25,0,
mt0027072382,128,38,0,
mt0027142171,83,25,0,
mt0027149420,169,47,12,
mt0027317557,113,19,3,
mt0027535695,75,28,0,
mt0027963341,139,46,0,
mt0028081047,81,31,0,
mt0028241237,98,45,0,
mt0028359933,42,20,0,
mt0028372740,109,28,0,
mt0028444679,132,20,0,
mt0028471202,64,78,39,
mt0028577577,205,96,0,
mt0028577920,51,30,0,
mt0028617797,28,40,0,
mt0028620567,69,54,0,
mt0028703201,240,132,1,
mt0028754256,71,37,0,
mt0028772639,103,30,1,
mt0028782832,51,24,1,
mt0028798040,122,27,0,
mt0028810869,40,28,0,
mt0028813190,68,39,0,
mt0029033727,39,18,0,
mt0029143372,89,54,0,
mt0029174947,186,48,0,
mt0029196396,30,25,0,
mt0029990383,26,18,0,
mt0030597498,16,23,0,
mt0031593348,81,46,0,
mt0032048707,38,30,0,
mt0032682675,33,20,0,
mt0033262547,52,43,0,
mt0033391277,22,13,0,
mt0033733581,62,35,0,
mt0033994043,16,7,0,
mt0034992204,57,26,0,
mt0035119161,56,23,0,
